mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
7S27,8342.3,1.7,8344.5,,,3.892,,,256.9373073,,,0.000102029,W
2S44,8360.54,4.3,8369.08,,,6.124,,,163.291966,,,0.000161014,W
2T42,8370,8,8382.36,,,5.108,,,195.7713391,,,0.000134514,WT
0T71,8392,4,8383,,,7.516,,,133.0494944,,,0.000197941,T          1 S56                  8678.47                 7.713
0S80,8395,8,8370.5,,,8.208,,,121.8323587,,,0.000215843,S          4 S40   8663.48 ± 2.80 8662.79                4.335  W
3T36,8395,10,8401.09,,,4.598,,,217.4858634,,,0.000121354,WT
1T54,8402,6,8406.75,,,7.044,,,141.9647927,,,0.000186036,50
12S15,8402.99,1,8406.75,,,1.84,,,543.4782609,,,4.86E-05,W
6S30,8417.21,3.1,8427.41,,,3.952,,,253.0364372,,,0.000104631,W
11S18,8420.49,9,8418.49,,,3.976,,,251.5090543,,,0.000105155,WT
15S12,8426.74,2,8432.73,,,1.747,,,572.4098454,,,4.63E-05,W
8S24,8434.49,7,8440,,,4.211,,,237.4732843,,,0.000111655,–
10S20,8444.79,1.4,8446.66,,,2.56,,,390.625,,,6.79E-05,W
20S5,8465.5,2,8471.58,1.76,0.25,1.571,568.1818182,80.70764463,636.5372374,4.68E-05,6.65E-06,4.18E-05,WT
13S15,8469.42,9,8474.42,,,2.968,,,336.9272237,,,7.90E-05,WT
0S81,8490,8,8463.61,,,8.232,,,121.4771623,,,0.000218882,S
4S39,8499.51,2.4,8504.92,,,4.293,,,232.9373399,,,0.000114705,W
0T72,8503,4,8492.8,,,7.507,,,133.2090049,,,0.000200294,T
2T43,8507,8,8523.66,,,5.153,,,194.0617116,,,0.000137986,WT
2S45,8508.96,4.5,8515.75,,,6.15,,,162.601626,,,0.000164531,W
1T55,8514.4,7,8520.94,,,7.063,,,141.5828968,,,0.000189072,50
3T37,8548,5,8558.49,,,4.609,,,216.9668041,,,0.000123924,WT
5S35,8570.59,2.9,8574.62,,,4.218,,,237.0791844,,,0.000113624,W
0S82,8585,8,8556.77,,,8.254,,,121.1533802,,,0.000221883,S
6S31,8588.3,2.7,8594.46,,,3.975,,,251.572327,,,0.000107326,W
8S25,8590.61,7.5,8596.24,,,4.205,,,237.8121284,,,0.00011356,–
0T73,8613,5,8602.59,,,7.499,,,133.3511135,,,0.000202667,T
1T56,8631,8,8634.93,,,7.081,,,141.2229911,,,0.000192089,50
2T44,8654,8,8663.95,,,5.2,,,192.3076923,,,0.000141537,50
2S46,8656.02,4.8,8661.61,,,6.173,,,161.9957881,,,0.000167975,W
25S1,8658,2,8655.17,1.35,0.25,1.185,740.7407407,137.1742112,843.8818565,3.67E-05,6.80E-06,3.22E-05,ss
10S21,8675.9,2.5,8673.48,,,2.922,,,342.2313484,,,7.96E-05,W
0S83,8679,8,8649.99,,,8.275,,,120.8459215,,,0.000224871,S
12S16,8689.38,1.8,8691.79,,,2.225,,,449.4382022,,,6.08E-05,W
3T38,8702,8,8715.17,,,4.622,,,216.3565556,,,0.000126548,50
4T33,8711,8,8721.15,,,4.395,,,227.5312856,,,0.000120416,50
7S29,8712.29,3,8722.02,,,3.87,,,258.3979328,,,0.000106042,W
0T74,8723,5,8712.37,,,7.489,,,133.5291761,,,0.000204979,T          0 S87   9057.00 ± 9.00 9023.43                8.350 S
